Name,Team,GS,IP,ERA,K%,BB%,ERA_est
Matt Brash,Seattle Mariners,0,6.0,0.0,0.1905,0.0476,4.01
Huascar Brazobán,New York Mets,0,8.3,0.0,0.2,0.0,3.85
Dylan Dodd,Atlanta Braves,0,3.0,0.0,0.2,0.0,4.08
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,4.13
Kyle Finnegan,Detroit Tigers,0,8.0,0.0,0.0938,0.2188,4.31
Rico Garcia,Baltimore Orioles,0,9.0,0.0,0.3333,0.1,3.86
Tanner Gordon,Colorado Rockies,0,4.0,0.0,0.2857,0.0714,4.05
DL Hall,Milwaukee Brewers,0,8.7,0.0,0.2778,0.1667,4.06
Tim Herrin,Cleveland Guardians,0,4.0,0.0,0.1579,0.1579,4.18
Raisel Iglesias,Atlanta Braves,0,7.7,0.0,0.3846,0.0,3.86
Joel Kuhnel,Athletics,0,4.7,0.0,0.2,0.0,4.02
Riley Martin,Chicago Cubs,1,4.3,0.0,0.2857,0.0,4.0
Mason Miller,San Diego Padres,0,9.3,0.0,0.7667,0.0333,3.78
David Morgan,San Diego Padres,0,10.3,0.0,0.2381,0.1667,4.08
Riley O'Brien,St. Louis Cardinals,0,10.3,0.0,0.3143,0.0,3.73
Daniel Palencia,Chicago Cubs,0,5.0,0.0,0.2632,0.1053,4.04
JoJo Romero,St. Louis Cardinals,0,10.3,0.0,0.1538,0.0769,4.02
Tyler Samaniego,Boston Red Sox,0,3.7,0.0,0.2857,0.2143,4.15
Tony Santillan,Cincinnati Reds,0,8.0,0.0,0.3333,0.2,4.02
Jesse Scholtens,Tampa Bay Rays,0,9.7,0.0,0.1944,0.0833,4.0
Antonio Senzatela,Colorado Rockies,0,12.3,0.0,0.3488,0.0698,3.64
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,4.07
Ryan Thompson,Arizona Diamondbacks,0,7.7,0.0,0.1786,0.1071,4.05
Blake Treinen,Los Angeles Dodgers,0,6.7,0.0,0.2308,0.1154,4.03
Louis Varland,Toronto Blue Jays,0,11.0,0.0,0.3902,0.0732,3.71
Alex Vesia,Los Angeles Dodgers,0,7.3,0.0,0.3333,0.1111,3.92
Brandon Young,Baltimore Orioles,1,5.0,0.0,0.1111,0.1111,4.14
José Soriano,Los Angeles Angels,4,27.0,0.33,0.3196,0.0928,3.35
Michael Wacha,Kansas City Royals,3,21.0,0.43,0.2297,0.0676,3.78
Shohei Ohtani,Los Angeles Dodgers,3,18.0,0.5,0.2609,0.087,3.63
Bryce Elder,Atlanta Braves,4,23.3,0.77,0.2527,0.0769,3.64
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,3.74
Tyler Phillips,Miami Marlins,0,10.7,0.84,0.2667,0.1111,3.91
Dennis Santana,Pittsburgh Pirates,0,10.0,0.9,0.1622,0.1081,4.07
Tyler Alexander,Texas Rangers,0,9.7,0.93,0.2143,0.0714,3.93
Braydon Fisher,Toronto Blue Jays,0,9.7,0.93,0.3636,0.0303,3.95
Bradgley Rodriguez,San Diego Padres,0,9.7,0.93,0.25,0.05,3.8
Tyler Rogers,Toronto Blue Jays,0,9.7,0.93,0.122,0.0976,4.06
Gregory Soto,Pittsburgh Pirates,0,9.7,0.93,0.4054,0.1351,4.05
Chad Patrick,Milwaukee Brewers,3,19.0,0.95,0.12,0.0933,4.13
Tim Hill,New York Yankees,0,9.0,1.0,0.1,0.0,3.94
Anthony Nunez,Baltimore Orioles,0,8.7,1.04,0.3438,0.0312,3.95
Tanner Scott,Los Angeles Dodgers,0,8.7,1.04,0.2667,0.0,4.0
Parker Messick,Cleveland Guardians,4,25.7,1.05,0.2688,0.0753,3.48
Brock Burke,Cincinnati Reds,0,8.3,1.08,0.2941,0.0882,3.87
Gordon Graceffo,St. Louis Cardinals,0,8.3,1.08,0.1562,0.1875,4.24
Casey Legumina,Seattle Mariners,0,8.3,1.08,0.2059,0.0294,3.97
Andrew Hoffmann,Arizona Diamondbacks,0,8.0,1.13,0.2353,0.1471,4.31
Bryan King,Houston Astros,0,8.0,1.13,0.3235,0.0882,3.89
Tyler Kinley,Atlanta Braves,0,8.0,1.13,0.2069,0.069,3.96
Dylan Lee,Atlanta Braves,0,8.0,1.13,0.2667,0.0333,3.84
Drew Rasmussen,Tampa Bay Rays,3,16.0,1.13,0.2881,0.0169,3.83
Eduard Bazardo,Seattle Mariners,0,7.7,1.17,0.2,0.1,4.01
Jalen Beeks,Texas Rangers,0,7.7,1.17,0.1935,0.0645,3.96
Jaden Hill,Colorado Rockies,0,7.7,1.17,0.2188,0.1562,4.08
Will Klein,Los Angeles Dodgers,0,7.7,1.17,0.3,0.1,3.91
Daniel Lynch IV,Kansas City Royals,0,7.7,1.17,0.3333,0.1,3.93
Robert Suarez,Atlanta Braves,0,7.7,1.17,0.2667,0.0333,3.86
Matt Gage,San Francisco Giants,0,7.3,1.23,0.2143,0.1429,4.07
Tyler Holton,Detroit Tigers,0,7.3,1.23,0.1613,0.129,4.37
Taj Bradley,Minnesota Twins,4,21.7,1.25,0.3118,0.086,3.35
Brennan Bernardino,Colorado Rockies,1,7.0,1.29,0.1724,0.1034,4.06
Caleb Kilian,San Francisco Giants,0,7.0,1.29,0.3704,0.1481,4.21
Enyel De Los Santos,Houston Astros,0,6.7,1.35,0.24,0.04,4.15
Jhoan Duran,Philadelphia Phillies,0,6.7,1.35,0.3333,0.0,3.9
Brooks Raley,New York Mets,0,6.7,1.35,0.3462,0.1154,3.93
John King,Miami Marlins,0,6.3,1.42,0.2308,0.1154,4.35
Jeffrey Springs,Athletics,4,24.7,1.46,0.2198,0.0879,3.5
Seth Lugo,Kansas City Royals,4,24.3,1.48,0.2283,0.0652,3.37
Spencer Arrighetti,Houston Astros,1,6.0,1.5,0.3704,0.1481,4.06
Aroldis Chapman,Boston Red Sox,0,6.0,1.5,0.2727,0.0909,4.04
Eli Morgan,Kansas City Royals,0,6.0,1.5,0.2692,0.1154,4.23
Jacob Latz,Texas Rangers,1,11.7,1.54,0.2326,0.0698,4.03
Isaac Mattson,Pittsburgh Pirates,0,11.7,1.54,0.1765,0.1176,3.99
Yennier Cano,Baltimore Orioles,0,5.7,1.59,0.4,0.0,3.95
Edward Cabrera,Chicago Cubs,3,16.7,1.62,0.197,0.1364,3.92
