Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Andrew Alvarez,Washington Nationals,0,4.3,0.0,0.3125,0.0,8.76,1.5,4.05
Mason Black,Kansas City Royals,0,4.7,0.0,0.2273,0.0909,9.17,2.24,4.09
Matt Brash,Seattle Mariners,0,11.3,0.0,0.2105,0.0526,7.59,2.48,3.91
Nick Davila,Seattle Mariners,0,5.3,0.0,0.1,0.1,8.47,3.47,4.18
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.09,4.17
Brandyn Garcia,Arizona Diamondbacks,0,5.7,0.0,0.3529,0.0,8.12,1.5,3.99
Domingo Gonzalez,Seattle Mariners,0,3.0,0.0,0.2308,0.1538,8.66,3.09,4.19
Raisel Iglesias,Atlanta Braves,0,12.7,0.0,0.3409,0.0455,7.84,1.5,3.67
Alek Manoah,Los Angeles Angels,0,6.0,0.0,0.12,0.2,8.22,4.59,4.28
Yuki Matsui,San Diego Padres,0,6.7,0.0,0.32,0.08,8.42,1.59,3.95
Zebby Matthews,Minnesota Twins,1,7.0,0.0,0.2,0.04,8.37,2.09,4.0
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,8.46,1.5,4.1
Ethan Roberts,Chicago Cubs,0,5.7,0.0,0.0952,0.1429,8.12,5.04,4.32
Justin Slaten,Boston Red Sox,0,6.0,0.0,0.2917,0.0833,8.52,1.76,4.0
Trent Thornton,Chicago Cubs,0,3.0,0.0,0.0833,0.0833,8.81,3.43,4.21
Louis Varland,Toronto Blue Jays,0,21.7,0.42,0.3678,0.1034,8.17,1.5,3.26
Rico Garcia,Baltimore Orioles,0,19.0,0.47,0.3438,0.1094,6.16,2.57,3.72
Robert Suarez,Atlanta Braves,0,18.0,0.5,0.2571,0.0571,8.11,1.76,3.5
Aroldis Chapman,Boston Red Sox,0,13.7,0.66,0.3654,0.0962,7.85,1.63,3.65
Tim Herrin,Cleveland Guardians,0,13.3,0.68,0.1148,0.1311,8.64,4.07,4.21
Trey Yesavage,Toronto Blue Jays,3,13.3,0.68,0.2632,0.0877,8.79,2.19,3.79
Kyle Hurt,Los Angeles Dodgers,0,11.0,0.82,0.3902,0.0244,8.09,1.5,3.75
Shohei Ohtani,Los Angeles Dodgers,7,44.0,0.82,0.2924,0.0643,6.1,2.37,2.87
Austin Warren,New York Mets,0,11.0,0.82,0.2955,0.1136,8.24,3.28,4.07
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,7.99,1.59,3.78
Peyton Gray,Texas Rangers,0,10.3,0.87,0.1818,0.1364,8.33,3.29,4.08
Dylan Lee,Atlanta Braves,0,20.7,0.87,0.3521,0.0282,6.82,1.5,3.3
Bryan Hudson,Chicago White Sox,2,20.0,0.9,0.2619,0.1071,8.42,2.39,3.63
Mason Miller,San Diego Padres,0,19.7,0.92,0.5556,0.0694,7.12,1.5,3.35
Matt Gage,San Francisco Giants,0,18.0,1.0,0.169,0.1408,7.51,4.15,4.22
Tim Hill,New York Yankees,0,18.0,1.0,0.1077,0.0308,7.96,3.37,3.99
Brooks Raley,New York Mets,0,17.0,1.06,0.303,0.0909,7.81,2.56,3.77
Brenan Hanifee,Detroit Tigers,1,8.3,1.08,0.1212,0.0303,8.78,4.05,4.22
Tyler Phillips,Miami Marlins,0,25.0,1.08,0.2358,0.1226,7.83,3.29,3.85
Yennier Cano,Baltimore Orioles,0,16.0,1.13,0.1964,0.0357,7.5,2.91,3.89
Tyler Samaniego,Boston Red Sox,0,15.3,1.17,0.1935,0.1129,8.05,3.94,4.17
Kyle Finnegan,Detroit Tigers,0,20.7,1.31,0.1667,0.1786,8.02,4.55,4.35
Antonio Senzatela,Colorado Rockies,0,27.3,1.32,0.24,0.07,6.89,2.58,3.49
Wilber Dotel,Pittsburgh Pirates,0,6.7,1.35,0.16,0.12,8.12,5.19,4.35
Cam Schlittler,New York Yankees,9,53.3,1.35,0.2921,0.0446,6.08,1.63,1.92
Jason Adam,San Diego Padres,0,13.0,1.38,0.098,0.0588,8.09,4.25,4.25
Caleb Kilian,San Francisco Giants,0,19.3,1.4,0.2405,0.1519,7.31,4.49,4.33
Carl Edwards Jr.,New York Mets,0,6.0,1.5,0.44,0.16,8.37,3.59,4.18
Dietrich Enns,Baltimore Orioles,0,11.7,1.54,0.2292,0.1667,8.14,3.27,4.06
Tanner Scott,Los Angeles Dodgers,0,17.3,1.56,0.2581,0.0323,7.61,3.09,3.92
Evan Sisk,Pittsburgh Pirates,0,17.3,1.56,0.3043,0.058,8.21,1.88,3.57
